day,tmzonCd,cnt
20211000,00,100
20211020,22,3434
20211027,16,3434
20211203,20,11
20211205,12,3
20211206,17,83
20211207,14,48
20211210,12,55
20211215,00,31026
20211215,01,17505
20211215,02,20671
20211215,03,20656
20211215,04,205
20211215,05,13774
20211215,06,17217
20211215,07,24162
20211215,08,6947
20211215,09,13784
20211215,10,13836
20211215,11,24172
20211215,12,20611
20211215,13,17296
20211215,14,3486
20211215,15,10511
20211215,16,10377
20211215,17,24066
20211215,18,34421
20211215,19,10302
20211215,20,20838
20211215,21,13911
20211215,22,6895
20211215,23,27512
20211217,15,84
20211219,09,20
20211221,14,68
20211222,15,32
20211223,07,58
20211228,07,18
