mttrClCd,tmzonCd,cnt
00,00,86
00,01,86
00,02,85
00,03,84
00,04,86
00,05,84
00,06,85
00,07,95
00,08,112
00,09,141
00,10,170
00,11,179
00,12,168
00,13,176
00,14,180
00,15,175
00,16,169
00,17,156
00,18,149
00,19,120
00,20,93
00,21,83
00,22,70
00,23,68
CH,08,1
CH,09,3
CH,10,3
CH,11,3
CH,12,3
CH,13,3
CH,14,5
CH,15,7
CH,16,7
CH,17,7
DG,08,2
DG,09,4
DG,10,10
DG,11,24
DG,12,18
DG,13,17
DG,14,21
DG,15,31
DG,16,33
DG,17,33
DG,18,42
DG,19,33
DG,20,21
DG,21,22
DG,22,19
DG,23,18
GS,17,1
GS,18,2
WS,18,1
WS,19,1
